record,country,year,Gross Domestic Product (GDP),Gross National Income (GNI),Inflation rate,Unemployment rate,Poverty rate,Life expectancy,Literacy rate,Access to electricity,Mobile phone subscriptions,Government expenditure on education,Foreign direct investment (FDI),Exports of goods and services,Imports of goods and services,Gross capital formation,Agricultural land area,Agricultural production index,GDP_BN,GNI_BN,year_o,net_exim_bal
0,Argentina,01-01-2020,3.86E+11,3.76E+11,,11.46000004,42,75.892,,100,121.6001889,11.91689968,1.224943213,16.6108724,13.60892749,14.13059546,39.60322861,109.82,385.5402246,375.5357851,2020,3.001944914
1,Argentina,01-01-2019,4.48E+11,4.30E+11,,9.840000153,35.5,77.284,,100,125.9409814,12.5300703,1.485007122,17.92487838,14.70573667,14.2100304,39.60322861,112.94,447.7546092,430.1667206,2019,3.21914171
2,Argentina,01-01-2018,5.25E+11,5.06E+11,,9.220000267,32,76.999,99.0038681,99.98957825,131.9371685,12.52334023,2.232532213,14.43668575,16.32585021,16.61388502,39.60322861,97.41,524.8197429,506.093901,2018,-1.889164455
3,Argentina,01-01-2017,6.44E+11,6.27E+11,,8.350000381,25.7,76.833,,100,140.5014607,13.26391983,1.789364285,11.32028336,13.96931778,18.21256717,40.64742444,106.07,643.6286653,627.200729,2017,-2.649034418
4,Argentina,01-01-2016,5.58E+11,5.45E+11,,8.109000206,30.3,76.308,99.12500763,99.84957886,145.9179567,13.35554028,0.584749932,12.52709517,13.56679268,17.66322786,41.71605114,100.94,557.5313762,545.2507175,2016,-1.039697511
5,Argentina,01-01-2015,5.95E+11,5.84E+11,,7.524000168,,76.76,99.17996216,99.6253891,142.9639551,13.96331024,1.977134618,10.70565205,11.78057404,17.07070488,42.78467784,103.96,594.7492854,583.6154521,2015,-1.074921988
6,Australia,01-01-2020,1.33E+12,1.30E+12,0.846905537,6.460000038,,83.2,,100,106.9417431,14.43000031,1.153617556,24.00828302,20.22515106,22.24594349,46.25247984,89,1326.901059,1297.066631,2020,3.783131958
7,Australia,01-01-2019,1.39E+12,1.35E+12,1.610767873,5.159999847,,82.9,,100,108.5886162,12.84535027,2.798356398,24.15153911,21.67518659,23.30221775,47.12377243,91.35,1392.227864,1345.720927,2019,2.476352516
8,Australia,01-01-2018,1.43E+12,1.38E+12,1.911400944,5.300000191,,82.74878049,,100,110.6519296,13.47729015,4.248855065,21.87340412,21.516144,24.55944883,46.65809501,97.37,1428.288505,1383.588869,2018,0.357260119
9,Australia,01-01-2017,1.33E+12,1.29E+12,1.948647409,5.590000153,,82.5,,100,108.4165835,13.60235977,3.63347312,21.23118349,20.72016138,24.10736013,48.34061794,108.34,1326.516329,1290.510597,2017,0.511022112
